,anchor_age,in_icu_at_alert,vasopressor_event_count_24h,vasopressor_active_24h,vasopressor_on_at_alert,mechanical_ventilation_chart_events_24h,mechanical_ventilation_24h,prior_positive_specimens_24h,prior_positive_specimens_7d,lab_wbc_last_24h,lab_wbc_min_24h,lab_wbc_max_24h,lab_wbc_count_24h,lab_platelets_last_24h,lab_platelets_min_24h,lab_platelets_count_24h,lab_creatinine_last_24h,lab_creatinine_max_24h,lab_creatinine_count_24h,lab_lactate_last_24h,lab_lactate_max_24h,lab_lactate_count_24h,vital_heart_rate_last_24h,vital_heart_rate_min_24h,vital_heart_rate_max_24h,vital_heart_rate_count_24h,vital_resp_rate_last_24h,vital_resp_rate_max_24h,vital_resp_rate_count_24h,vital_temperature_c_last_24h,vital_temperature_c_min_24h,vital_temperature_c_max_24h,vital_temperature_c_count_24h,vital_map_last_24h,vital_map_min_24h,vital_map_count_24h,vital_spo2_last_24h,vital_spo2_min_24h,vital_spo2_count_24h
anchor_age,1.0,0.008178266340447141,0.029269923577504506,0.04220303735922667,0.01978527640999478,-0.014288606323462691,-0.016180886589965682,-0.0037979795198819595,-0.008179657044431396,0.1158993718532627,0.10629104198860576,0.08339127779921506,-0.0017062455696616409,-0.06534500919872352,-0.06387163637567536,-0.026872081519875614,0.01640576384170583,0.0165234787564164,0.011529760162847657,0.01326489540126077,0.021264147196785717,0.008752975045978613,-0.1885158095659328,-0.12063777000571332,-0.20273710620448895,-0.0010941476168918186,-0.08556819732173243,-0.05797461740286015,-0.0009850510881719888,-0.2264280505183257,-0.19942344955523794,-0.27376756912666605,-0.021222852687437142,-0.17973419031648685,-0.20283555627188923,0.001651078638610497,-0.058921344704691986,-0.0450362309069972,-0.004324513034389919
in_icu_at_alert,0.008178266340447141,1.0,0.38856553290484513,0.4899967244770484,0.4153233228994296,0.4741232476763543,0.5089997129874402,-0.017177975813158792,-0.017392258157247126,-0.051478259744299405,-0.04352992293780842,-0.05845363736676252,0.06655007023227291,-0.011984502163356413,-0.018764427640430587,0.3929572138328511,0.01863997049805453,0.030524218859720308,0.4860109826968396,-0.1385292862924546,-0.09255321653075424,0.4519581558045087,0.16115088405146105,0.057881619974281165,0.18963209720333654,0.6615259312652713,0.12133337460150749,0.2750823896024486,0.6574536634327927,0.08879619121674043,-0.10834147374187778,0.26311413162735053,0.5792398400581977,-0.0024534628898089435,-0.15505611028582297,0.6334338518256709,0.1544193444361797,-0.0029342468087509856,0.6608378327059453
vasopressor_event_count_24h,0.029269923577504506,0.38856553290484513,1.0,0.7710935139515152,0.7744882542022751,0.3007531016419315,0.28259263179633237,0.0010444643079765136,-0.0013276742653296819,0.07393643502169384,0.07816447573298256,0.03266285758110721,0.03746834666585782,-0.08914982688691528,-0.09342344766954773,0.2773925228482895,0.061154343984840265,0.07575817208489408,0.3018270819183291,0.18523363168587112,0.23470657724787916,0.5383355852103864,0.03579171093618366,0.013164386546369592,0.01816249301654896,0.290916840802648,0.01978003982312957,0.09629352728850704,0.29085019438231513,-0.04112749486538801,-0.16798538137545738,0.03729391490723752,0.3168526661176076,-0.22655303924631964,-0.2750195487031181,0.2938868647424909,0.0464108830878627,-0.030802687053601407,0.28229533618781016
vasopressor_active_24h,0.04220303735922667,0.4899967244770484,0.7710935139515152,1.0,0.7806120038215567,0.3438478640551478,0.3343650316234047,-0.00259080919771699,-0.005722873749688448,0.0480570284954057,0.0530862107240033,0.013912294121627002,0.05090476002930508,-0.0901621449701185,-0.09464542160755908,0.27057764200858003,0.0624603984624438,0.07365033246143343,0.3236672041890152,0.07219264443453709,0.11697485180423849,0.4837562096876316,-0.01004621044612825,-0.018702212854080524,-0.0036413399383579564,0.3688661968561455,-0.002026224215392645,0.08439179840967193,0.3728098581370978,-0.053712522246795194,-0.16238270364290067,0.0024058235594134982,0.3575484065059441,-0.2507985509719228,-0.33135398552933787,0.3625494417381802,0.05469592253856376,-0.010733532603286175,0.361229631291747
vasopressor_on_at_alert,0.01978527640999478,0.4153233228994296,0.7744882542022751,0.7806120038215567,1.0,0.3144010082688156,0.2993014000763491,0.00698550788568675,0.0031715334828648395,0.08774909102860491,0.09213980006423844,0.04077700419555808,0.046536504227994505,-0.0866150546088101,-0.0898068680577339,0.24226926202067753,0.05912824335239214,0.06943646870721785,0.29464078440151154,0.023020731699492848,0.04715876061641588,0.44762590245585665,0.053129302183541144,0.04560102100016591,0.016701416702621118,0.3172023422125233,0.05708806638000196,0.10534429117003659,0.31487179251307934,-0.021356112821114295,-0.17521060777598857,0.02094114367763131,0.3226776280704466,-0.25432454489625816,-0.27155017659724395,0.3113267035827856,0.07402305788153805,-0.026097529921433285,0.30897599616616034
mechanical_ventilation_chart_events_24h,-0.014288606323462691,0.4741232476763543,0.3007531016419315,0.3438478640551478,0.3144010082688156,1.0,0.9230604953034645,0.008343808627923405,-0.01171723826677426,-0.045528792003328704,-0.04198827431899247,-0.03982401511575414,0.0290620487088349,-0.013102565044514528,-0.016412492213809266,0.19545796400646712,0.011433020992150421,0.019879391065693645,0.25615480453547196,-0.033466420652439266,0.003636304998311883,0.3343530785733338,0.023636974095972475,-0.023506997867933595,0.07206592414523423,0.6827757237911432,0.07000391743855287,0.12675782988021528,0.6793461181132898,0.23664523726249162,0.054010067461203064,0.3252874403960067,0.6794103266634586,-0.1123280671794142,-0.15008708055514977,0.665356129276633,0.12154945776256236,0.08917697750797435,0.6881657262769678
mechanical_ventilation_24h,-0.016180886589965682,0.5089997129874402,0.28259263179633237,0.3343650316234047,0.2993014000763491,0.9230604953034645,1.0,-0.0017213493875709131,-0.01685791007916916,-0.04107202035836364,-0.037272891784432445,-0.03786718402660821,0.03171785447933916,0.008146997038200045,0.0042071244572642625,0.20894742080081502,0.003729913570342338,0.01180396818184519,0.26919189639000407,-0.05403343586536799,-0.026209016207680506,0.32389536459465323,0.028854752212356123,-0.04720315235930017,0.10043761975828183,0.7298857282207618,0.07610791078725133,0.15760484947895087,0.7290377493390937,0.2679264990036406,0.07020004842403353,0.3574935211026571,0.7003734001190204,-0.10196773839020072,-0.1370747958426244,0.7041011459006915,0.12021383159279696,0.09661482343324745,0.7347753734026182
prior_positive_specimens_24h,-0.0037979795198819595,-0.017177975813158792,0.0010444643079765136,-0.00259080919771699,0.00698550788568675,0.008343808627923405,-0.0017213493875709131,1.0,0.5711132739808206,-0.03630265944624404,-0.03538736259992728,-0.025633651630976046,-0.0001263121465850191,-0.027201504399495167,-0.02746807747364237,0.009270740067262388,-0.0298047658920405,-0.030493577585407643,0.0065863678997408175,-0.021223407800165323,-0.02789684412728846,0.0009292410644940845,0.03239755103491059,-0.0009499574772806488,-0.024562574527371313,-0.009923783507925828,0.09493492048879303,0.00682289230936916,-0.009674612719217626,0.01112758184490657,-0.003524733438283815,-0.022137272218742593,-0.010761898044315054,-0.018892151162467653,0.0241751942067791,-0.013501240672099943,0.004520688879763151,-0.012267962489224358,-0.009093374006279764
prior_positive_specimens_7d,-0.008179657044431396,-0.017392258157247126,-0.0013276742653296819,-0.005722873749688448,0.0031715334828648395,-0.01171723826677426,-0.01685791007916916,0.5711132739808206,1.0,-0.04064685270584201,-0.03957878272272033,-0.028839856185861643,-0.013649476473262081,-0.023914974283090643,-0.023306107163979115,-0.0007295911696240157,-0.0484965817638291,-0.048476656575958635,-0.009370643566708985,-0.01626012191644222,-0.01691949282012446,-0.0033724408795027614,0.010362389105061135,0.006265098895593733,-0.03854191382598746,-0.021522618647763413,0.043649116155322215,-0.029714782923284205,-0.021146810085896067,-0.0030678966142860804,0.0160640822853633,-0.01758642125235193,-0.01929264848880883,-0.055950279915562805,-9.845736891644558e-05,-0.023155212658389095,0.006530881139010006,0.012785516019178848,-0.02067928026418648
lab_wbc_last_24h,0.1158993718532627,-0.051478259744299405,0.07393643502169384,0.0480570284954057,0.08774909102860491,-0.045528792003328704,-0.04107202035836364,-0.03630265944624404,-0.04064685270584201,1.0,0.9929976015972739,0.9317701901328816,0.2784730133027672,-0.022746298622054524,-0.023707292731028146,0.048551376748619084,0.07893472226533692,0.08256181481426286,0.01119544464129156,-0.01789711239750395,-0.03492583449765672,0.0319702249572047,0.0532451345631715,0.11010618893260052,-0.012631858960499709,-0.037646046998869594,0.1401208964972675,0.1820886136271159,-0.0345167123589262,-0.41109061281546994,-0.30152472246764705,-0.1405830707863127,-0.03935671135572567,-0.3221837349578322,-0.46318036791817163,-0.023242144371953002,0.32513040741917676,-0.14413797463253453,-0.04903864660359713
lab_wbc_min_24h,0.10629104198860576,-0.04352992293780842,0.07816447573298256,0.0530862107240033,0.09213980006423844,-0.04198827431899247,-0.037272891784432445,-0.03538736259992728,-0.03957878272272033,0.9929976015972739,1.0,0.9299024731741916,0.21825582609972802,-0.016583724590456084,-0.017748333961838843,0.041997659917964364,0.07399560825615818,0.07809516380118361,0.018608166387097995,-0.017999252635788048,-0.03511893146624641,0.036923894797191,-0.001183702841449718,0.05740482406096661,-0.0019955054683562746,-0.03653258499795331,0.10658308424538862,0.2208107549204635,-0.03353566923772951,-0.39602638440217197,-0.30927457709054573,-0.07576682825682567,-0.03882151771720944,-0.41833000267240344,-0.4867705068539764,-0.022324099056465565,0.33679828398103373,-0.2691236913827806,-0.04821655495070333
lab_wbc_max_24h,0.08339127779921506,-0.05845363736676252,0.03266285758110721,0.013912294121627002,0.04077700419555808,-0.03982401511575414,-0.03786718402660821,-0.025633651630976046,-0.028839856185861643,0.9317701901328816,0.9299024731741916,1.0,0.38328194064480414,-0.033309710707794205,-0.03325539431541009,0.012368928026500081,0.023149045489943707,0.024701129526527033,-0.017690220158351186,-0.01789711239750395,-0.03492583449765672,0.002587957482862596,0.0532451345631715,0.11010618893260052,-0.012631858960499709,-0.040295026695850715,0.1401208964972675,0.1820886136271159,-0.03816689915115738,-0.41109061281546994,-0.30152472246764705,-0.1405830707863127,-0.04027097479916395,-0.3221837349578322,-0.46318036791817163,-0.03125967649954351,0.32513040741917676,-0.14413797463253453,-0.04714194843124129
lab_wbc_count_24h,-0.0017062455696616409,0.06655007023227291,0.03746834666585782,0.05090476002930508,0.046536504227994505,0.0290620487088349,0.03171785447933916,-0.0001263121465850191,-0.013649476473262081,0.2784730133027672,0.21825582609972802,0.38328194064480414,1.0,-0.03322924760271879,-0.0336850476544932,0.08843380671466426,-0.0036442628447773476,-0.001826257688207173,0.13018809497605058,-0.029854016862307507,-0.03825461967429142,0.04921762662968401,0.013500629303618492,0.031177656718779857,0.04440768436235187,0.04207762620634606,0.013195506886448775,0.006608289791939912,0.03939143140145851,0.10577598916430436,0.10276641279881675,0.15416699514728682,0.033037705998829,0.03371100658468223,0.03897977849405516,0.037939465436146784,0.02500201250862138,0.039701168073512795,0.0386689129081596
lab_platelets_last_24h,-0.06534500919872352,-0.011984502163356413,-0.08914982688691528,-0.0901621449701185,-0.0866150546088101,-0.013102565044514528,0.008146997038200045,-0.027201504399495167,-0.023914974283090643,-0.022746298622054524,-0.016583724590456084,-0.033309710707794205,-0.03322924760271879,1.0,0.9981756674472532,-0.2002265364020438,-0.09526004349826979,-0.09964807969879855,-0.12977335398697554,-0.16181854858700936,-0.1658494004410954,-0.11826016051159106,0.05255425832323407,0.019664415002456644,0.11194684857271217,-0.009552180057233508,0.04385196687127295,0.03315710333797351,-0.009996007522287558,0.16652055751743114,0.20546045040690689,0.2129140993082478,-0.029193767459998993,0.11459107251529037,0.10194313362994951,-0.0015513549296384437,0.00244740260037659,0.04726072041605285,-0.009000234813053195
lab_platelets_min_24h,-0.06387163637567536,-0.018764427640430587,-0.09342344766954773,-0.09464542160755908,-0.0898068680577339,-0.016412492213809266,0.0042071244572642625,-0.02746807747364237,-0.023306107163979115,-0.023707292731028146,-0.017748333961838843,-0.03325539431541009,-0.0336850476544932,0.9981756674472532,1.0,-0.22482549522302192,-0.09632374807773539,-0.10101858372810646,-0.14396646838324628,-0.1656078654489882,-0.17173827397751096,-0.12756188292652879,0.043147207622902195,0.012856992838433744,0.10319536223444871,-0.01488421089829328,0.04113908112483884,0.029700834776414973,-0.015301149974734876,0.16826948505989767,0.20556501768099372,0.20674100713155036,-0.03481094045739165,0.11970660472200133,0.1048637977693516,-0.006001583016987564,0.004905849203298626,0.04574932916994456,-0.014077938336283466
lab_platelets_count_24h,-0.026872081519875614,0.3929572138328511,0.2773925228482895,0.27057764200858003,0.24226926202067753,0.19545796400646712,0.20894742080081502,0.009270740067262388,-0.0007295911696240157,0.048551376748619084,0.041997659917964364,0.012368928026500081,0.08843380671466426,-0.2002265364020438,-0.22482549522302192,1.0,0.039995397612879006,0.06020388182844819,0.7510866855398121,0.08436557546385219,0.1686135371400641,0.4404744192762289,0.17356066279402385,0.11404331539168165,0.08882986717907879,0.2843806992068257,0.009757001093820133,0.04255627131560413,0.28255383998418615,-0.06213143575387452,-0.1726265624876375,-0.07577849802579659,0.27793404779481606,0.007636888391695627,-0.03896881571706561,0.26717371225289355,0.11768931875768256,0.07118854608259344,0.2858832264124622
lab_creatinine_last_24h,0.01640576384170583,0.01863997049805453,0.061154343984840265,0.0624603984624438,0.05912824335239214,0.011433020992150421,0.003729913570342338,-0.0298047658920405,-0.0484965817638291,0.07893472226533692,0.07399560825615818,0.023149045489943707,-0.0036442628447773476,-0.09526004349826979,-0.09632374807773539,0.039995397612879006,1.0,0.9955887126617514,0.06416321463415678,0.09191985952896191,0.12347110234199465,0.06626858767489184,-0.048034517089838955,-0.028492215207413185,-0.10565626338720834,0.034385956697728204,-0.067975298131798,-0.04877599962891042,0.03377865966171707,-0.11497097817620645,-0.12958577348915945,-0.11071980162800675,0.02031576541953818,-0.23435186829595986,-0.261141510151935,0.0362402039461727,0.018931682512431866,-0.11030323996291352,0.03092794879544205
lab_creatinine_max_24h,0.0165234787564164,0.030524218859720308,0.07575817208489408,0.07365033246143343,0.06943646870721785,0.019879391065693645,0.01180396818184519,-0.030493577585407643,-0.048476656575958635,0.08256181481426286,0.07809516380118361,0.024701129526527033,-0.001826257688207173,-0.09964807969879855,-0.10101858372810646,0.06020388182844819,0.9955887126617514,1.0,0.09610250794314852,0.09907900448587662,0.13430768117929115,0.08578199126081959,-0.04363609004084125,-0.04132843172470334,-0.1029055431909973,0.0441733652817855,-0.06997302172400237,-0.05083193683163729,0.043529297009526624,-0.1266311135916228,-0.14761197395450704,-0.11475122136982566,0.03282249414468909,-0.2334825707162489,-0.26014520361506166,0.0461056464701684,0.03297390643853297,-0.10950637360028224,0.040452724446854854
lab_creatinine_count_24h,0.011529760162847657,0.4860109826968396,0.3018270819183291,0.3236672041890152,0.29464078440151154,0.25615480453547196,0.26919189639000407,0.0065863678997408175,-0.009370643566708985,0.01119544464129156,0.018608166387097995,-0.017690220158351186,0.13018809497605058,-0.12977335398697554,-0.14396646838324628,0.7510866855398121,0.06416321463415678,0.09610250794314852,1.0,0.035465235659633686,0.1324508594754132,0.45292442276614864,0.15226136696940337,0.10654723483254565,0.10131894866259276,0.3367838842705438,0.0912513304560673,0.14088568412004276,0.3362644690456849,-0.12460772857396354,-0.24268583187744647,-0.04109024501576897,0.33149272473502056,-0.02147961600345813,-0.08340327820674392,0.32311014015946904,0.1639305139873284,0.06452130624190021,0.33742208412197183
lab_lactate_last_24h,0.01326489540126077,-0.1385292862924546,0.18523363168587112,0.07219264443453709,0.023020731699492848,-0.033466420652439266,-0.05403343586536799,-0.021223407800165323,-0.01626012191644222,-0.01789711239750395,-0.017999252635788048,-0.01789711239750395,-0.029854016862307507,-0.16181854858700936,-0.1656078654489882,0.08436557546385219,0.09191985952896191,0.09907900448587662,0.035465235659633686,1.0,0.9034512022553008,0.23416521047376412,-0.07409831192173846,-0.05776165865443778,-0.07153203813922812,-0.06584064978627437,0.04752311154829493,0.015012786779078722,-0.06689578475264855,-0.16770034519330532,-0.11194006629941433,-0.11641665786778978,-0.012574901599343668,-0.23935429295819846,-0.15597875188151636,-0.06457269564895525,-0.11157756350623785,-0.14089517697746598,-0.07840683704896062
lab_lactate_max_24h,0.021264147196785717,-0.09255321653075424,0.23470657724787916,0.11697485180423849,0.04715876061641588,0.003636304998311883,-0.026209016207680506,-0.02789684412728846,-0.01691949282012446,-0.03492583449765672,-0.03511893146624641,-0.03492583449765672,-0.03825461967429142,-0.1658494004410954,-0.17173827397751096,0.1686135371400641,0.12347110234199465,0.13430768117929115,0.1324508594754132,0.9034512022553008,1.0,0.3870988870877605,-0.09577695726728662,-0.0879982528924501,-0.04987829382508847,-0.027428952274001116,0.025466236732176656,0.009300847895096337,-0.027602613861765275,-0.186518808692599,-0.16821987999714474,-0.152489464963462,0.021875067041993018,-0.2035380623391348,-0.17931098254120031,-0.029091590517198788,-0.08281243725790545,-0.1991528541851796,-0.0450233913207691
lab_lactate_count_24h,0.008752975045978613,0.4519581558045087,0.5383355852103864,0.4837562096876316,0.44762590245585665,0.3343530785733338,0.32389536459465323,0.0009292410644940845,-0.0033724408795027614,0.0319702249572047,0.036923894797191,0.002587957482862596,0.04921762662968401,-0.11826016051159106,-0.12756188292652879,0.4404744192762289,0.06626858767489184,0.08578199126081959,0.45292442276614864,0.23416521047376412,0.3870988870877605,1.0,0.030406332825467012,-0.009031391300467784,0.05874718385621415,0.3015390955162989,0.02148293921645055,0.08321398269818364,0.2983196498197269,-0.04596390986987068,-0.23038875711552942,-0.017221814577470025,0.3455425221361718,-0.13558261036187808,-0.19258017741562972,0.292260323499161,0.013650510666138961,-0.08203922850253206,0.2954765034397074
vital_heart_rate_last_24h,-0.1885158095659328,0.16115088405146105,0.03579171093618366,-0.01004621044612825,0.053129302183541144,0.023636974095972475,0.028854752212356123,0.03239755103491059,0.010362389105061135,0.0532451345631715,-0.001183702841449718,0.0532451345631715,0.013500629303618492,0.05255425832323407,0.043147207622902195,0.17356066279402385,-0.048034517089838955,-0.04363609004084125,0.15226136696940337,-0.07409831192173846,-0.09577695726728662,0.030406332825467012,1.0,0.849249941146614,0.6667741524904918,0.10549335468580166,0.240342176824715,0.2007645817277521,0.10660678602294689,0.15535527782961228,0.07682697157218338,0.16308358117180025,0.13806385836491894,0.19656966542808527,0.1443374136974484,0.1079065717313928,0.08861710019030011,0.06137743276996636,0.1203562717650796
vital_heart_rate_min_24h,-0.12063777000571332,0.057881619974281165,0.013164386546369592,-0.018702212854080524,0.04560102100016591,-0.023506997867933595,-0.04720315235930017,-0.0009499574772806488,0.006265098895593733,0.11010618893260052,0.05740482406096661,0.11010618893260052,0.031177656718779857,0.019664415002456644,0.012856992838433744,0.11404331539168165,-0.028492215207413185,-0.04132843172470334,0.10654723483254565,-0.05776165865443778,-0.0879982528924501,-0.009031391300467784,0.849249941146614,1.0,0.5956393470098407,0.0266063040451379,0.1878012707811241,0.16450210891499722,0.032229960151165124,0.1139396351097986,0.11089825489472967,0.13322086678624592,0.0850804837187035,0.15065738173322582,0.15813274250428294,0.03428922573428906,0.05858992459251529,0.041152174950141764,0.03906726028214166
vital_heart_rate_max_24h,-0.20273710620448895,0.18963209720333654,0.01816249301654896,-0.0036413399383579564,0.016701416702621118,0.07206592414523423,0.10043761975828183,-0.024562574527371313,-0.03854191382598746,-0.012631858960499709,-0.0019955054683562746,-0.012631858960499709,0.04440768436235187,0.11194684857271217,0.10319536223444871,0.08882986717907879,-0.10565626338720834,-0.1029055431909973,0.10131894866259276,-0.07153203813922812,-0.04987829382508847,0.05874718385621415,0.6667741524904918,0.5956393470098407,1.0,0.21912575749609703,0.06702427507446111,0.23744764051799183,0.20497349798772777,0.1576113439822152,0.08204026643167374,0.26851658459849176,0.17903896924669738,0.08353126053112293,0.016852745153503434,0.19515572068560685,-0.014503730896512333,-0.0650483519052815,0.22530415581843544
