feature,mean_abs_shap
lab_platelets_min_24h,0.3380167
lab_platelets_last_24h,0.16647634
anchor_age,0.16140753
lab_creatinine_last_24h,0.10014305
lab_creatinine_max_24h,0.09538013
prior_positive_specimens_7d,0.053928945
in_icu_at_alert,0.049640786
lab_lactate_last_24h,0.0336801
lab_creatinine_count_24h,0.03027298
lab_lactate_max_24h,0.030232651
vital_heart_rate_last_24h,0.02621559
vital_resp_rate_last_24h,0.026002288
vital_heart_rate_min_24h,0.0243836
vital_heart_rate_max_24h,0.022792356
vital_resp_rate_max_24h,0.021883277
vital_temperature_c_count_24h,0.021139534
vital_map_last_24h,0.02112746
vasopressor_event_count_24h,0.020191299
lab_platelets_count_24h,0.019407315
mechanical_ventilation_chart_events_24h,0.019393103
lab_lactate_count_24h,0.016071426
vital_spo2_min_24h,0.014504196
lab_wbc_last_24h,0.013981152
vital_temperature_c_max_24h,0.013788229
vital_spo2_last_24h,0.011822398
vital_map_min_24h,0.010696934
vital_temperature_c_min_24h,0.010069261
vital_temperature_c_last_24h,0.00988887
vital_map_count_24h,0.009295946
vasopressor_on_at_alert,0.0092639765
vital_resp_rate_count_24h,0.0076315724
lab_wbc_max_24h,0.004978168
lab_wbc_min_24h,0.0044459626
vital_spo2_count_24h,0.0035978195
vasopressor_active_24h,0.0032605315
prior_positive_specimens_24h,0.002292723
vital_heart_rate_count_24h,0.0021426345
mechanical_ventilation_24h,0.0016891203
prior_gp_positive_specimens_24h,0.0
lab_wbc_count_24h,0.0
prior_gp_positive_specimens_7d,0.0
