feature_left,feature_right,correlation,abs_correlation
lab_platelets_last_24h,lab_platelets_min_24h,0.9978656329630734,0.9978656329630734
lab_creatinine_last_24h,lab_creatinine_max_24h,0.9958461434114396,0.9958461434114396
vital_heart_rate_count_24h,vital_spo2_count_24h,0.99294217760574,0.99294217760574
lab_wbc_last_24h,lab_wbc_min_24h,0.9923116909209468,0.9923116909209468
vital_heart_rate_count_24h,vital_resp_rate_count_24h,0.990544880874683,0.990544880874683
vital_resp_rate_count_24h,vital_spo2_count_24h,0.9859207411653536,0.9859207411653536
vital_heart_rate_count_24h,vital_map_count_24h,0.9516822036462073,0.9516822036462073
vital_map_count_24h,vital_spo2_count_24h,0.9499879347323658,0.9499879347323658
vital_resp_rate_count_24h,vital_map_count_24h,0.9484893309934427,0.9484893309934427
lab_wbc_last_24h,lab_wbc_max_24h,0.9374465207249165,0.9374465207249165
lab_wbc_min_24h,lab_wbc_max_24h,0.9361205493844036,0.9361205493844036
mechanical_ventilation_chart_events_24h,mechanical_ventilation_24h,0.9245514722291516,0.9245514722291516
prealert_blood_culture_draws_24h,prealert_additional_draws_24h,0.9153019726534344,0.9153019726534344
lab_lactate_last_24h,lab_lactate_max_24h,0.8913385660788944,0.8913385660788944
vital_heart_rate_last_24h,vital_heart_rate_min_24h,0.8697971668702916,0.8697971668702916
vital_heart_rate_count_24h,vital_temperature_c_count_24h,0.8591983814472309,0.8591983814472309
vital_temperature_c_count_24h,vital_spo2_count_24h,0.855935883473021,0.855935883473021
vital_resp_rate_count_24h,vital_temperature_c_count_24h,0.852598936861089,0.852598936861089
prior_subject_s_aureus_positive_365d,prior_subject_any_staph_positive_365d,0.8372643927916905,0.8372643927916905
prior_subject_s_aureus_positive_90d,prior_subject_s_aureus_positive_365d,0.8231117165237726,0.8231117165237726
vital_temperature_c_count_24h,vital_map_count_24h,0.8084658645125415,0.8084658645125415
vital_spo2_last_24h,vital_spo2_min_24h,0.7880999624201187,0.7880999624201187
vasopressor_active_24h,vasopressor_on_at_alert,0.7808354114935402,0.7808354114935402
vasopressor_event_count_24h,vasopressor_on_at_alert,0.7661104703024693,0.7661104703024693
vasopressor_event_count_24h,vasopressor_active_24h,0.7608465408280776,0.7608465408280776
prior_subject_s_aureus_positive_365d_flag,prior_subject_any_staph_positive_365d_flag,0.7520774943781086,0.7520774943781086
lab_platelets_count_24h,lab_creatinine_count_24h,0.7515651391997753,0.7515651391997753
prior_subject_cons_positive_90d,prior_subject_cons_positive_365d,0.744284803203235,0.744284803203235
mechanical_ventilation_24h,vital_spo2_count_24h,0.7400899677163979,0.7400899677163979
mechanical_ventilation_24h,vital_resp_rate_count_24h,0.7349006468021756,0.7349006468021756
mechanical_ventilation_24h,vital_heart_rate_count_24h,0.7343501280549352,0.7343501280549352
prior_subject_s_aureus_positive_90d,prior_subject_s_aureus_positive_365d_flag,0.7325210836809584,0.7325210836809584
prior_subject_s_aureus_positive_365d,prior_subject_s_aureus_positive_365d_flag,0.7195185764455074,0.7195185764455074
mechanical_ventilation_24h,vital_temperature_c_count_24h,0.7081238277615807,0.7081238277615807
mechanical_ventilation_24h,vital_map_count_24h,0.7032265254023174,0.7032265254023174
mechanical_ventilation_chart_events_24h,vital_spo2_count_24h,0.7001410474703094,0.7001410474703094
vital_temperature_c_last_24h,vital_temperature_c_max_24h,0.6965373825828329,0.6965373825828329
mechanical_ventilation_chart_events_24h,vital_heart_rate_count_24h,0.6939368821504998,0.6939368821504998
mechanical_ventilation_chart_events_24h,vital_temperature_c_count_24h,0.6938835620896031,0.6938835620896031
prior_subject_cons_positive_365d,prior_subject_cons_positive_365d_flag,0.6925262307534732,0.6925262307534732
mechanical_ventilation_chart_events_24h,vital_resp_rate_count_24h,0.6895096752681585,0.6895096752681585
prior_subject_any_staph_positive_365d,prior_subject_any_staph_positive_365d_flag,0.68503576377475,0.68503576377475
prior_subject_s_aureus_positive_90d,prior_subject_any_staph_positive_365d,0.6791034318512111,0.6791034318512111
mechanical_ventilation_chart_events_24h,vital_map_count_24h,0.6726540855834839,0.6726540855834839
vital_temperature_c_last_24h,vital_temperature_c_min_24h,0.6712004323232635,0.6712004323232635
vital_heart_rate_last_24h,vital_heart_rate_max_24h,0.654923057347501,0.654923057347501
prior_subject_cons_positive_90d,prior_subject_cons_positive_365d_flag,0.6535527316945767,0.6535527316945767
prealert_blood_culture_draws_6h,prealert_blood_culture_draws_24h,0.6511242505072455,0.6511242505072455
vital_map_last_24h,vital_map_min_24h,0.6497826647683698,0.6497826647683698
in_icu_at_alert,vital_heart_rate_count_24h,0.6444682805620083,0.6444682805620083
in_icu_at_alert,vital_spo2_count_24h,0.643315075389211,0.643315075389211
in_icu_at_alert,vital_resp_rate_count_24h,0.6406005566665768,0.6406005566665768
prior_subject_cons_positive_365d_flag,prior_subject_any_staph_positive_365d_flag,0.6280561037770103,0.6280561037770103
in_icu_at_alert,vital_map_count_24h,0.6180973634595438,0.6180973634595438
vital_heart_rate_min_24h,vital_heart_rate_max_24h,0.5964143853110832,0.5964143853110832
prior_subject_any_staph_positive_365d,prior_subject_s_aureus_positive_365d_flag,0.5881686259335195,0.5881686259335195
prior_positive_specimens_24h,prior_positive_specimens_7d,0.5848749507265548,0.5848749507265548
prealert_blood_culture_draws_6h,prealert_additional_draws_24h,0.5771062858379068,0.5771062858379068
prior_subject_cons_positive_365d,prior_subject_any_staph_positive_365d,0.5738856048497291,0.5738856048497291
in_icu_at_alert,vital_temperature_c_count_24h,0.5614975037411986,0.5614975037411986
