feature,non_missing_count,observation_rate,unique_non_missing,variance
lab_wbc_last_24h,158,0.040753159659530566,46,2172.44719019592
lab_wbc_max_24h,158,0.040753159659530566,46,6346.197411916472
lab_wbc_min_24h,158,0.040753159659530566,45,2140.4445698621303
lab_lactate_last_24h,422,0.10884704668558164,59,3.51596930182031
lab_lactate_max_24h,422,0.10884704668558164,66,4.879222399837894
vital_temperature_c_last_24h,498,0.12844983234459634,88,0.4701487027175695
vital_temperature_c_max_24h,498,0.12844983234459634,89,0.6729551751482664
vital_temperature_c_min_24h,498,0.12844983234459634,70,0.35279427669193314
vital_map_last_24h,501,0.1292236265153469,82,242.43907385229542
vital_map_min_24h,501,0.1292236265153469,69,179.72376846307387
vital_resp_rate_last_24h,515,0.13283466597884963,35,42.520516791961015
vital_resp_rate_max_24h,515,0.13283466597884963,41,52.06144837746968
vital_heart_rate_last_24h,518,0.1336084601496002,89,430.0537105217956
vital_heart_rate_max_24h,518,0.1336084601496002,94,389.0761372037968
vital_heart_rate_min_24h,518,0.1336084601496002,80,324.5672464395869
vital_spo2_last_24h,518,0.1336084601496002,23,41.23294100953676
vital_spo2_min_24h,518,0.1336084601496002,33,49.61808547978762
lab_platelets_last_24h,2719,0.701315450090276,624,27675.083229750802
lab_platelets_min_24h,2719,0.701315450090276,621,27548.39915742949
lab_creatinine_last_24h,2733,0.7049264895537787,113,3.727406927638392
lab_creatinine_max_24h,2733,0.7049264895537787,113,3.8244094251754093
anchor_age,3877,1.0,73,271.8535609837381
in_icu_at_alert,3877,1.0,2,0.16770371588897295
index_hours_draw_to_alert,3877,1.0,2661,3991.1019159383454
lab_creatinine_count_24h,3877,1.0,7,0.7110372541832665
lab_lactate_count_24h,3877,1.0,11,0.6888270723083634
lab_platelets_count_24h,3877,1.0,9,0.6569010754594385
lab_wbc_count_24h,3877,1.0,3,0.04211322203154642
mechanical_ventilation_24h,3877,1.0,2,0.06258096956116795
mechanical_ventilation_chart_events_24h,3877,1.0,47,54.34886857557191
prealert_additional_draws_24h,3877,1.0,6,0.3379079554931268
prealert_blood_culture_draws_24h,3877,1.0,7,0.8968756230347371
prealert_blood_culture_draws_6h,3877,1.0,4,0.2890969020816314
prealert_blood_culture_draws_7d,3877,1.0,19,8.205736085346809
prior_gp_positive_specimens_24h,3877,1.0,1,0.0
prior_gp_positive_specimens_7d,3877,1.0,1,0.0
prior_positive_specimens_24h,3877,1.0,4,0.013592372045135064
prior_positive_specimens_7d,3877,1.0,6,0.08005655325404804
prior_subject_any_staph_positive_365d,3877,1.0,18,1.759920043930853
prior_subject_any_staph_positive_365d_flag,3877,1.0,2,0.15223182521994041
prior_subject_cons_positive_365d,3877,1.0,13,0.5189194937304572
prior_subject_cons_positive_365d_flag,3877,1.0,2,0.07639068007909894
prior_subject_cons_positive_90d,3877,1.0,8,0.19123483122529655
prior_subject_s_aureus_positive_365d,3877,1.0,14,1.208699235229435
prior_subject_s_aureus_positive_365d_flag,3877,1.0,2,0.10202863437706375
prior_subject_s_aureus_positive_90d,3877,1.0,13,0.7103857711310092
vasopressor_active_24h,3877,1.0,2,0.06369627660466465
vasopressor_event_count_24h,3877,1.0,35,9.582446211722543
vasopressor_on_at_alert,3877,1.0,2,0.04099392224207061
vital_heart_rate_count_24h,3877,1.0,45,68.13141258295262
vital_map_count_24h,3877,1.0,53,69.02391614914025
vital_resp_rate_count_24h,3877,1.0,46,67.97149272534992
vital_spo2_count_24h,3877,1.0,47,66.03358178860647
vital_temperature_c_count_24h,3877,1.0,31,9.051828371547902
