feature,coefficient,abs_coefficient
prior_subject_any_staph_positive_365d,-0.7628443354448948,0.7628443354448948
prior_subject_s_aureus_positive_365d_flag,0.6477176262009147,0.6477176262009147
prealert_blood_culture_draws_24h,0.5879083784249108,0.5879083784249108
prior_subject_s_aureus_positive_90d,0.5683053210763431,0.5683053210763431
prior_subject_s_aureus_positive_365d,0.5336984891019512,0.5336984891019512
lab_creatinine_max_24h,0.5130383904362109,0.5130383904362109
vital_spo2_count_24h,-0.5105037763978144,0.5105037763978144
mechanical_ventilation_chart_events_24h,-0.4998023296522955,0.4998023296522955
prealert_additional_draws_24h,-0.46826803207878526,0.46826803207878526
lab_creatinine_last_24h,-0.4060340942884979,0.4060340942884979
prior_positive_specimens_7d,-0.34619391901496344,0.34619391901496344
prior_subject_cons_positive_365d,0.34090240311415315,0.34090240311415315
mechanical_ventilation_24h,0.32398082686710705,0.32398082686710705
lab_wbc_min_24h,0.31945284085547476,0.31945284085547476
index_hours_draw_to_alert,-0.31674180291545984,0.31674180291545984
lab_wbc_max_24h,-0.2786582766034752,0.2786582766034752
prior_subject_cons_positive_90d,-0.27184301391193794,0.27184301391193794
vital_resp_rate_count_24h,0.23818941005634794,0.23818941005634794
vital_heart_rate_count_24h,0.23010113967113613,0.23010113967113613
prealert_blood_culture_draws_7d,0.21240215105798332,0.21240215105798332
vital_temperature_c_count_24h,0.1976262195461984,0.1976262195461984
lab_platelets_last_24h,0.1837349918254639,0.1837349918254639
in_icu_at_alert,-0.16559445186045937,0.16559445186045937
vasopressor_active_24h,0.15110458515835493,0.15110458515835493
prealert_blood_culture_draws_6h,0.14441177527904475,0.14441177527904475
lab_platelets_min_24h,-0.12887070796010786,0.12887070796010786
vasopressor_on_at_alert,-0.1244473085494328,0.1244473085494328
vital_map_count_24h,0.11678610668105704,0.11678610668105704
lab_creatinine_count_24h,0.11640244152523806,0.11640244152523806
vital_heart_rate_last_24h,-0.09516806320494,0.09516806320494
lab_platelets_count_24h,-0.09409456219302657,0.09409456219302657
prior_subject_cons_positive_365d_flag,-0.0902876277619521,0.0902876277619521
vital_temperature_c_max_24h,-0.08952910354345352,0.08952910354345352
vital_map_last_24h,0.08734982127569335,0.08734982127569335
vital_resp_rate_last_24h,-0.0803310542651742,0.0803310542651742
lab_wbc_count_24h,-0.07759336669192113,0.07759336669192113
vital_spo2_last_24h,0.07528963002197883,0.07528963002197883
vital_heart_rate_min_24h,0.06886400536226119,0.06886400536226119
prior_positive_specimens_24h,0.06651267659529754,0.06651267659529754
vasopressor_event_count_24h,0.06649278065764196,0.06649278065764196
prior_subject_any_staph_positive_365d_flag,0.05354431880534101,0.05354431880534101
vital_temperature_c_last_24h,0.03884698109423503,0.03884698109423503
lab_lactate_count_24h,0.03428730405162683,0.03428730405162683
vital_map_min_24h,-0.032037430029497924,0.032037430029497924
lab_wbc_last_24h,-0.03175826408987323,0.03175826408987323
lab_lactate_last_24h,0.023313892069935362,0.023313892069935362
lab_lactate_max_24h,-0.02234354921907991,0.02234354921907991
vital_spo2_min_24h,0.01996911478764408,0.01996911478764408
vital_temperature_c_min_24h,-0.017021010082568396,0.017021010082568396
anchor_age,-0.010003611425096743,0.010003611425096743
vital_heart_rate_max_24h,0.009964735673274928,0.009964735673274928
vital_resp_rate_max_24h,0.0020517234475101774,0.0020517234475101774
prior_gp_positive_specimens_24h,0.0,0.0
prior_gp_positive_specimens_7d,0.0,0.0
